상품코드,판매상품 ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
9791175790988,S000221354783,AI 쓰는 어른의 IT 상식,"22,000","19,800",10%,5%,"1,100",스펜서,한빛미디어,20260930,컴퓨터/IT
9791170685326,S000221335960,플랫폼이 된 인간,"18,000","16,200",10%,5%,900,김주연,군자출판사,20260930,컴퓨터/IT
9791140720507,S000221265110,허깅페이스 인 액션,"33,000","29,700",10%,5%,"1,650",웨이멍 리,길벗,20260923,컴퓨터/IT
9791194409717,S000221329594,AWS는 알려주지 않는 클라우드 비용 절감,"27,000","24,300",10%,5%,"1,350",최우영,에이콘온,20260923,컴퓨터/IT
9791194630982,S000221281868,클링 & 씨댄스,"25,000","22,500",10%,5%,"1,250",전은재,생능북스,20260922,컴퓨터/IT
9791143027566,S000221333667,로봇 리터러시,"12,000","12,000",0%,3%,360,진동철,커뮤니케이션북스,20260922,컴퓨터/IT
9791140720323,S000221177071,AI 편집 디자인,"28,000","25,200",10%,5%,"1,400",이미정 외,길벗,20260921,컴퓨터/IT
9791124516638,S000221280258,2027 빠르게 따는 컴퓨터활용능력 2급 필기+실기,"27,000","24,300",10%,5%,"1,350",이강용,골든래빗(주),20260921,컴퓨터/IT
9791165923525,S000221248777,코드를 넘어서,"19,800","17,820",10%,5%,990,팍스,비제이퍼블릭,20260921,컴퓨터/IT
9788931481976,S000221142569,2027 이기적 GTQ 포토샵 1급 기본서 ver.CC,"26,000","23,400",10%,5%,"1,300",박은영,영진닷컴,20260917,컴퓨터/IT
9791143019189,S000221268444,생성형 AI와 웹툰 서사 구성,"12,000","12,000",0%,0%,0,강승희,커뮤니케이션북스,20260917,컴퓨터/IT
9791143033093,S000221261542,AI와 교육 심리,"12,000","12,000",0%,0%,0,최민지,커뮤니케이션북스,20260916,컴퓨터/IT
9791175791015,S000221145124,"그록봇  with 스킬, 루틴, 그룹, 커넥터","30,000","27,000",10%,5%,"1,500",이종범,한빛미디어,20260915,컴퓨터/IT
9791144201163,S000221283707,AX 2.0 우리의 준비,"20,000","20,000",0%,3%,600,정보통신기획평가원,박영사,20260915,컴퓨터/IT
9791124205747,S000221151703,그냥 Postgres를 쓰세요!,"33,000","29,700",10%,5%,"1,650",데니스 마그다,제이펍,20260910,컴퓨터/IT
9791158396992,S000221109067,AI 네이티브 개발자를 위한 OpenAI 코덱스 실전 활용법,"30,000","27,000",10%,5%,"1,500",서지영,위키북스,20260910,컴퓨터/IT
9791193193235,S000220957117,PMP PM+P : PMP 합격을 위한 PMPBOK 지침서 해설서,"35,000","31,500",10%,5%,"1,750",김병호 외,소동,20260908,컴퓨터/IT
9788931483468,S000220852716,2027 이기적 컴퓨터활용능력 1급 실기 기본서,"39,000","35,100",10%,5%,"1,950",박윤정,영진닷컴,20260907,컴퓨터/IT
9791125105053,S000221142554,구현하며 이해하는 대칭키 암호,"30,000","30,000",0%,3%,900,염용진,교우,20260907,컴퓨터/IT
9791143032973,S000221162883,디지털 거버넌스,"28,000","28,000",0%,3%,840,김대호,커뮤니케이션북스,20260904,컴퓨터/IT
